,Unnamed: 0,Source,Target,Weight
22957,22957,11-9013.03,29-1022.00,0.00639645595741
22959,22959,11-9013.03,29-1024.00,0.00686428611557
22992,22992,11-9013.03,29-1126.00,0.00709324973078
23004,23004,11-9013.03,29-1181.00,0.00513043112031
23025,23025,11-9013.03,29-2056.00,0.00589736973569
23060,23060,11-9013.03,33-1021.01,0.00432036392887
23061,23061,11-9013.03,33-1021.02,0.00647800509159
23074,23074,11-9013.03,33-3031.00,0.00661410972454
23125,23125,11-9013.03,39-4011.00,0.00673179817318
23232,23232,11-9013.03,45-1011.06,0.00247017985239
23234,23234,11-9013.03,45-1011.08,0.00413949405183
23530,23530,11-9021.00,11-9041.00,0.00578007403753
23550,23550,11-9021.00,11-9199.11,0.00476548017209
23552,23552,11-9021.00,13-1021.00,0.00692209918282
23632,23632,11-9021.00,17-1011.00,0.00480829704748
23633,23633,11-9021.00,17-1012.00,0.00586318471719
24055,24055,11-9021.00,39-4031.00,0.00711577871157
24072,24072,11-9021.00,41-1011.00,0.00710810477333
24453,24453,11-9031.00,11-9032.00,0.00563140328911
24455,24455,11-9031.00,11-9039.01,0.00687673120568
24456,24456,11-9031.00,11-9039.02,0.00708712221193
24460,24460,11-9031.00,11-9061.00,0.00708965551704
24461,24461,11-9031.00,11-9071.00,0.00474699923721
24467,24467,11-9031.00,11-9131.00,0.00703682461759
24472,24472,11-9031.00,11-9199.02,0.00711355483808
24474,24474,11-9031.00,11-9199.04,0.00674429313735
24476,24476,11-9031.00,11-9199.08,0.00687445444822
24764,24764,11-9031.00,25-9031.00,0.00395712186298
24780,24780,11-9031.00,27-2012.02,0.00668801941327
24970,24970,11-9031.00,39-1021.01,0.00641785353327
25000,25000,11-9031.00,41-1012.00,0.00538922729115
25023,25023,11-9031.00,43-1011.00,0.00493733365841
25055,25055,11-9031.00,43-5011.01,0.00651215518215
25387,25387,11-9032.00,11-9071.00,0.00360528241961
25396,25396,11-9032.00,11-9161.00,0.00688418309671
25624,25624,11-9032.00,21-2021.00,0.00661062767593
25684,25684,11-9032.00,25-4012.00,0.00692471903415
25690,25690,11-9032.00,25-9031.00,0.00701926293973
25926,25926,11-9032.00,41-1012.00,0.00689357803972
26325,26325,11-9033.00,11-9199.04,0.0064164252731
26548,26548,11-9033.00,21-2011.00,0.00695484811735
26906,26906,11-9033.00,43-5011.01,0.0070329539335
27231,27231,11-9039.01,11-9039.02,0.00612021041514
27242,27242,11-9039.01,11-9131.00,0.00559344404844
27250,27250,11-9039.01,11-9199.07,0.00681765600817
27282,27282,11-9039.01,13-1199.04,0.00308178554048
27283,27283,11-9039.01,13-1199.05,0.00651329088957
27798,27798,11-9039.01,43-1011.00,0.00523567618401
28165,28165,11-9039.02,11-9131.00,0.00698770379892
28173,28173,11-9039.02,11-9199.07,0.00625451851347
28668,28668,11-9039.02,39-1021.01,0.00670368053567
29027,29027,11-9039.02,53-1021.01,0.00714350917861
29086,29086,11-9041.00,11-9121.02,0.00572755670718
29095,29095,11-9041.00,11-9199.07,0.00565953512766
29097,29097,11-9041.00,11-9199.11,0.00269589353588
29099,29099,11-9041.00,13-1021.00,0.00434729542752
29117,29117,11-9041.00,13-1081.02,0.00608464705117
29128,29128,11-9041.00,13-1199.05,0.00563359709517
29179,29179,11-9041.00,17-1011.00,0.0065557872235
29189,29189,11-9041.00,17-2051.01,0.00552794077133
29194,29194,11-9041.00,17-2081.00,0.00475495090145
29199,29199,11-9041.00,17-2112.00,0.00356036532139
29209,29209,11-9041.00,17-2171.00,0.00655039086781
29220,29220,11-9041.00,17-3011.01,0.00489694852758
29268,29268,11-9041.00,19-2041.02,0.00683916935889
29378,29378,11-9041.00,25-4012.00,0.00685258797053
29495,29495,11-9041.00,29-2051.00,0.00657744323003
29683,29683,11-9041.00,43-5061.00,0.00665764531879
30103,30103,11-9041.01,17-1022.00,0.00684773916534
30126,30126,11-9041.01,17-2141.01,0.00644184609263
30138,30138,11-9041.01,17-2199.09,0.00605466456237
30140,30140,11-9041.01,17-2199.11,0.00497153093709
30170,30170,11-9041.01,19-1021.00,0.00692450317053
30221,30221,11-9041.01,19-4092.00,0.00704993528769
30222,30222,11-9041.01,19-4093.00,0.0069191530742
30225,30225,11-9041.01,19-4099.03,0.00595568182415
30400,30400,11-9041.01,29-1181.00,0.00599334233031
30899,30899,11-9041.01,53-6041.00,0.0059501134195
31403,31403,11-9051.00,35-1011.00,0.0048629238736
31550,31550,11-9051.00,45-1011.08,0.00704615193146
32330,32330,11-9061.00,35-3011.00,0.00601294124162
32332,32332,11-9061.00,35-3022.00,0.00701643459787
32349,32349,11-9061.00,39-1021.00,0.00684405324662
32350,32350,11-9061.00,39-1021.01,0.00569796921727
32385,32385,11-9061.00,41-2031.00,0.00634816008667
32709,32709,11-9061.00,53-1021.01,0.00647995723019
32765,32765,11-9071.00,11-9131.00,0.0049857261481
32768,32768,11-9071.00,11-9161.00,0.00681251139933
33062,33062,11-9071.00,25-9031.00,0.00688382028542
33077,33077,11-9071.00,27-2012.01,0.00715871936351
33267,33267,11-9071.00,39-1021.00,0.00640710862104
33298,33298,11-9071.00,41-1012.00,0.00576919764645
33321,33321,11-9071.00,43-1011.00,0.00399598392985
34600,34600,11-9111.00,11-9151.00,0.00699800819001
34946,34946,11-9111.00,29-1031.00,0.00630545504205
35638,35638,11-9121.00,17-2199.03,0.00577483978287
35686,35686,11-9121.00,19-1042.00,0.00562681518953
35694,35694,11-9121.00,19-2041.02,0.00555538434932
35695,35695,11-9121.00,19-2041.03,0.00692810508319
35710,35710,11-9121.00,19-3091.02,0.0059604222728
37350,37350,11-9121.02,11-9199.11,0.00667838890804
37370,37370,11-9121.02,13-1081.02,0.00635581915823
37377,37377,11-9121.02,13-1199.01,0.006061257693
37438,37438,11-9121.02,17-2021.00,0.00405158126995
37442,37442,11-9121.02,17-2051.01,0.00666088352328
37447,37447,11-9121.02,17-2081.00,0.00526021348729
37448,37448,11-9121.02,17-2081.01,0.00524644361944
37452,37452,11-9121.02,17-2112.00,0.00582964892029
37456,37456,11-9121.02,17-2131.00,0.00583801039248
37462,37462,11-9121.02,17-2171.00,0.00587844800434
37463,37463,11-9121.02,17-2199.01,0.00679480381237
37464,37464,11-9121.02,17-2199.02,0.00677635693641
37465,37465,11-9121.02,17-2199.03,0.00490280743852
37471,37471,11-9121.02,17-2199.10,0.00489243285091
37479,37479,11-9121.02,17-3022.00,0.0065241621311
37508,37508,11-9121.02,19-1031.01,0.00355813664893
37513,37513,11-9121.02,19-1042.00,0.00641849693405
37519,37519,11-9121.02,19-2041.00,0.0061934461274
37521,37521,11-9121.02,19-2041.02,0.0034942099284
37748,37748,11-9121.02,29-2051.00,0.00696543184449
37764,37764,11-9121.02,29-9011.00,0.00540524192285
38016,38016,11-9121.02,47-4011.00,0.00518318866361
38260,38260,11-9131.00,11-9199.07,0.00690028779588
38292,38292,11-9131.00,13-1199.04,0.00684304872136
38293,38293,11-9131.00,13-1199.05,0.00667588728782
38557,38557,11-9131.00,27-1022.00,0.00674014292817
38564,38564,11-9131.00,27-2012.01,0.00704085688084
38754,38754,11-9131.00,39-1021.00,0.00660618841117
38784,38784,11-9131.00,41-1011.00,0.00659531204409
38808,38808,11-9131.00,43-1011.00,0.00514698399351
38843,38843,11-9131.00,43-5032.00,0.00711013795615
39471,39471,11-9141.00,27-1025.00,0.00609011190235
40076,40076,11-9151.00,11-9161.00,0.00530699063329
40154,40154,11-9151.00,15-1199.09,0.00626114880789
40268,40268,11-9151.00,19-3051.00,0.00676031982614
40274,40274,11-9151.00,19-3099.01,0.0071578900404
40304,40304,11-9151.00,21-2021.00,0.00432158874033
40990,40990,11-9161.00,11-9199.07,0.00657508978068
41010,41010,11-9161.00,13-1081.00,0.0071614894037
41036,41036,11-9161.00,13-2071.01,0.00679230164963
41213,41213,11-9161.00,21-2021.00,0.00547173824651
41278,41278,11-9161.00,25-9021.00,0.0071245849233
41296,41296,11-9161.00,27-2012.03,0.00632884593679
41429,41429,11-9161.00,33-1012.00,0.00417663081374
41512,41512,11-9161.00,39-9032.00,0.00703761791691
41514,41514,11-9161.00,41-1011.00,0.00626534964917
41921,41921,11-9199.01,13-1111.00,0.00563703983913
41924,41924,11-9199.01,13-1141.00,0.00631231888774
42116,42116,11-9199.01,21-1091.00,0.00582404923576
42122,42122,11-9199.01,23-1011.00,0.00674258244442
42183,42183,11-9199.01,25-4021.00,0.0065253329837
42822,42822,11-9199.02,13-1071.00,0.00555862339402
43015,43015,11-9199.02,21-1011.00,0.00556912716471
43094,43094,11-9199.02,25-9031.00,0.00712183787845
43112,43112,11-9199.02,27-2012.04,0.00712214783924
43243,43243,11-9199.02,33-1011.00,0.00653650599468
43710,43710,11-9199.03,11-9199.04,0.00614647936021
43761,43761,11-9199.03,13-2099.02,0.00497523400873
44244,44244,11-9199.03,41-3031.01,0.00637513752292
44246,44246,11-9199.03,41-3031.03,0.0055670437508
44248,44248,11-9199.03,41-3099.01,0.00627979533668
44291,44291,11-9199.03,43-5011.01,0.00542991728624
44689,44689,11-9199.04,15-1199.09,0.00607566009211
45141,45141,11-9199.04,41-1012.00,0.00479333572119
45196,45196,11-9199.04,43-5011.01,0.00450985290901
45521,45521,11-9199.07,11-9199.08,0.00580313371197
45524,45524,11-9199.07,13-1021.00,0.00543092477583
45531,45531,11-9199.07,13-1041.02,0.0056440199815
45533,45533,11-9199.07,13-1041.04,0.0054580239272
45552,45552,11-9199.07,13-1199.04,0.00595540559113
45553,45553,11-9199.07,13-1199.05,0.0055736014952
45624,45624,11-9199.07,17-2112.00,0.00461961490871
45920,45920,11-9199.07,29-2051.00,0.00683268302064
45959,45959,11-9199.07,33-1012.00,0.0057826346383
45986,45986,11-9199.07,33-9099.02,0.00536045084339
46014,46014,11-9199.07,39-1021.00,0.00618588506969
46044,46044,11-9199.07,41-1011.00,0.00661058010975
46108,46108,11-9199.07,43-5061.00,0.00473789078078
46373,46373,11-9199.07,53-1021.00,0.00532949554836
46374,46374,11-9199.07,53-1021.01,0.00495165054087
46434,46434,11-9199.08,13-1041.02,0.00585693123832
46436,46436,11-9199.08,13-1041.04,0.00658806407147
46644,46644,11-9199.08,21-1094.00,0.00542083127605
46697,46697,11-9199.08,25-2032.00,0.00600717781251
46861,46861,11-9199.08,33-1011.00,0.00604147189167
46889,46889,11-9199.08,33-9099.02,0.0050624829339
46917,46917,11-9199.08,39-1021.00,0.00500507308517
46918,46918,11-9199.08,39-1021.01,0.00594316085187
47276,47276,11-9199.08,53-1021.00,0.00490571694854
47277,47277,11-9199.08,53-1021.01,0.00473339694538
47329,47329,11-9199.11,13-1021.00,0.00525433809378
47347,47347,11-9199.11,13-1081.02,0.0071707536085
47409,47409,11-9199.11,17-1011.00,0.00623452778708
47410,47410,11-9199.11,17-1012.00,0.00681008497636
47419,47419,11-9199.11,17-2051.01,0.00444056210269
47429,47429,11-9199.11,17-2112.00,0.00578076040377
47439,47439,11-9199.11,17-2171.00,0.00676512942839
47498,47498,11-9199.11,19-2041.02,0.00684719012032
48251,48251,13-1011.00,13-1131.00,0.00678138839699
48450,48450,13-1011.00,23-1011.00,0.00699661408221
48766,48766,13-1011.00,41-4012.00,0.00641913929786
49131,49131,13-1021.00,13-1022.00,0.00687572330136
49230,49230,13-1021.00,17-2112.00,0.00633160681642
49650,49650,13-1021.00,41-1011.00,0.00610830863277
49714,49714,13-1021.00,43-5061.00,0.00495597330334
51871,51871,13-1031.01,13-2099.04,0.00688005268096
52297,52297,13-1031.01,35-3022.00,0.00702115520223
52355,52355,13-1031.01,41-3031.03,0.00685463332695
52363,52363,13-1031.01,41-9021.00,0.00655378421126
54534,54534,13-1041.01,13-1199.01,0.00703024778385
54621,54621,13-1041.01,17-2199.02,0.00657440331824
54656,54656,13-1041.01,19-1012.00,0.00399852428961
54665,54665,13-1041.01,19-1031.01,0.00703724517592
54921,54921,13-1041.01,29-9011.00,0.00451900330686
54922,54922,13-1041.01,29-9012.00,0.00412579025382
54949,54949,13-1041.01,33-2021.01,0.00410966465428
55120,55120,13-1041.01,45-2011.00,0.00408464636221
55173,55173,13-1041.01,47-4011.00,0.00244674849034
55391,55391,13-1041.01,53-6051.08,0.00718681038414
55411,55411,13-1041.02,13-1041.04,0.00348695731468
55435,55435,13-1041.02,13-2021.01,0.00465458439352
55848,55848,13-1041.02,33-3021.02,0.00667169105447
55850,55850,13-1041.02,33-3021.05,0.00686764937498
55856,55856,13-1041.02,33-3052.00,0.00637764871288
55864,55864,13-1041.02,33-9099.02,0.00532745031462
55941,55941,13-1041.02,41-9021.00,0.00697332951543
56333,56333,13-1041.03,13-2053.00,0.00711830042132
56500,56500,13-1041.03,21-1011.00,0.00581977624626
56516,56516,13-1041.03,23-1021.00,0.00539833371429
56660,56660,13-1041.03,29-1125.01,0.00708482982517
56863,56863,13-1041.03,43-4131.00,0.00595133257552
57581,57581,13-1041.04,29-2051.00,0.0065109434602
57639,57639,13-1041.04,33-3052.00,0.00488687702607
57647,57647,13-1041.04,33-9099.02,0.00646070181947
58034,58034,13-1041.04,53-1021.00,0.00653605407447
58039,58039,13-1041.04,53-2021.00,0.00709304417445
58040,58040,13-1041.04,53-2022.00,0.00532439260211
58053,58053,13-1041.04,53-4031.00,0.00710412919296
58227,58227,13-1041.06,19-1023.00,0.00664039051962
58244,58244,13-1041.06,19-2041.02,0.00716857992104
58406,58406,13-1041.06,29-1011.00,0.00576260361038
58409,58409,13-1041.06,29-1023.00,0.00710903007451
58412,58412,13-1041.06,29-1041.00,0.004015406478
58420,58420,13-1041.06,29-1067.00,0.00389480050289
58425,58425,13-1041.06,29-1069.05,0.00529399181083
58426,58426,13-1041.06,29-1069.06,0.00321826789688
58428,58428,13-1041.06,29-1069.08,0.00470323667914
58430,58430,13-1041.06,29-1069.10,0.00664407166121
58431,58431,13-1041.06,29-1069.11,0.00628077675061
58435,58435,13-1041.06,29-1081.00,0.00292672180734
58438,58438,13-1041.06,29-1123.00,0.00648444849856
58445,58445,13-1041.06,29-1128.00,0.00462507957768
58447,58447,13-1041.06,29-1141.00,0.00491557716455
58448,58448,13-1041.06,29-1141.01,0.00502514119711
58450,58450,13-1041.06,29-1141.03,0.00688423073658
58453,58453,13-1041.06,29-1161.00,0.00681362945709
58454,58454,13-1041.06,29-1171.00,0.006847646218
58491,58491,13-1041.06,29-9099.01,0.00427233897449
